nombre,apellidos,dni,telefono,edad
Ana,García López,12345678A,600123456,28
Carlos,Rodríguez Martínez,87654321B,611987654,35
María,Fernández Sánchez,23456789C,622456789,42
Javier,Gómez Ruiz,34567890D,633567890,31
Laura,Díaz Castro,45678901E,644678901,26
Pedro,Hernández Ortega,56789012F,655789012,39
Sofía,Ramos Jiménez,67890123G,666890123,24
David,Torres Navarro,78901234H,677901234,47
Elena,Morales Gil,89012345I,688012345,33
Miguel,Suárez Vega,90123456J,699123456,29
Lucía,Ortega Santos,01234567K,600234567,45
Jorge,Castro Molina,13579246L,611345678,38
Paula,Núñez Delgado,24681357M,622456789,27
Raúl,Medina Cortés,35792468N,633567890,52
Claudia,Reyes Marín,46803579O,644678901,36

